,fsqid,name,latitude,longitude,category,popularity,price,rating,stats,free_bikes
0,2b35d1155b9e408487c4e75d,Sheetla Das Ki Bagiya Shri Ram,23.249586,77.395599,"Retail,",,,,,2
1,51336900e4b063789a511ca4,Pizza inn,23.249586,77.395599,"Fast Food Restaurant,",0.520196191575303,1.0,,,2
2,51c4981d498ed8aad5ce9721,Danish Icecream Palour,23.249586,77.395599,"Ice Cream Parlor,",0.9163300634737448,1.0,,,2
3,5128b4fae4b01d5802641e46,Bake N Shake,23.249586,77.395599,"Coffee Shop,",0.7642815926139642,1.0,,,2
4,59f2ef646bd36b5ffe811366,Kamla Park,23.249586,77.395599,"Park,",0.9310444316214656,,,,2
5,577df56f498ec5eb3e068581,Khushboo Park,23.249586,77.395599,"Park,",0.3739180611656088,,,,2
6,d97a6ce80a684147f6e9a267,Shree Veshno Kirana Store,23.249586,77.395599,"Retail,",,,,,2
7,e347f569f5674768590b9a51,Sheed Maruti Work Shop,23.249586,77.395599,"Car Parts and Accessories,",,,,,2
8,e7208de711a340bf0027837c,Decent Motors,23.249586,77.395599,"Car Parts and Accessories,",,,,,2
9,e9240ab99053401c836384f1,Saman Dairy,23.249586,77.395599,"Retail,",,,,,2
10,51a6eb61498e8d9efce733df,Goyal Medical Hall,23.222624,77.424051,"Drugstore,",0.7400461627236007,,,,5
11,4fab9649e4b0381a48ca1f84,Amer Bakery Hut,23.222624,77.424051,"Bakery,",0.9645124062319675,1.0,8.3,"{'total_photos': 12, 'total_ratings': 25, 'total_tips': 12}",5
12,46c8b646fd694ba145b288c1,U V World Tours,23.222624,77.424051,,,,,,5
13,4ff91ab7e4b002d4d43b6faa,Royal Hair Salon,23.222624,77.424051,"Nail Salon,",0.7155222158107328,,,,5
14,4d402101c1d4721e308c0dc7,Cafe Coffee Day,23.222624,77.424051,"Cafes, Coffee, and Tea Houses,",0.9711482977495672,1.0,7.2,"{'total_photos': 5, 'total_ratings': 18, 'total_tips': 1}",5
15,c675ca1484de45f7a9652f48,Naidu Restaurant,23.222624,77.424051,"Restaurant,",,,,,5
16,83730a654fda476957a25f9b,Cobbler,23.222624,77.424051,"Retail,",,,,,5
17,5fe0fa3fdcaf4fa144063e30,Humpty Dumpty,23.222624,77.424051,"Retail,",,,,,5
18,3e8129cf2e324a630be49286,Ankit Electricals Repairing Centre,23.222624,77.424051,"Retail,",,,,,5
19,ee4fd8c67f3242f31199f9b3,Kashmir General Stores,23.222624,77.424051,"Retail,",,,,,5
20,593cfb6f8496ca7ada5d5428,Yolo - You Obviously Love Outings,23.192864,77.450197,"Café,",0.5086555106751298,1.0,,,4
21,606d9593a78c602dbd7551cc,Samsung SmartPlaza - Chitrahar Electro Retail LLP,23.192864,77.450197,"Electronics Store,",0.4368147720715522,,,,4
22,15297909af78455ffd9be4b5,Dominos,23.192864,77.450197,"Fast Food Restaurant,",,,,,4
23,405f94c3788546e1f66c33fa,Yolo Spice and Lounge,23.192864,77.450197,"Restaurant,",,,,,4
24,fb713a1f800d41f034f39b55,Jai Mahakal Jal Jeera,23.192864,77.450197,"Restaurant,",,,,,4
25,4bc2dad55dc44850655f5433,Bank of Baroda,23.192864,77.450197,"Banking and Finance,",,,,,4
26,65a5973a78154b9bcf735138,Navratna,23.192864,77.450197,"Indian Restaurant,",,,,,4
27,ac34b7a773e84e4a99f07c2f,Wood Traders,23.192864,77.450197,"Retail,",,,,,4
28,f66e979fedda4c30654f852c,Approach Consultant,23.192864,77.450197,"Retail,",,,,,4
29,6621d5df7a12481b0fa798a2,Aalish Automobile and Service Centre,23.192864,77.450197,"Car Parts and Accessories,",,,,,4
30,4dfdbb87813092a26e4ed819,Bawarchi Restaurant,23.203445,77.446469,"Indian Restaurant,",0.358338141950375,2.0,,,6
31,f234c36d011a47ddb6faaea4,New Swagat Tent and Carpets,23.203445,77.446469,"Retail,",,,,,6
32,ec93dafca95c4e355936b948,Saurabh Pradhan,23.203445,77.446469,"Retail,",,,,,6
33,af0ad03427a14bf9bb7397be,Gojagy Traders,23.203445,77.446469,"Retail,",,,,,6
34,d7722f3bd1334d3ab269c3bf,Archana Traders,23.203445,77.446469,"Retail,",,,,,6
35,bfc83c8233b6464ca1bc1827,Vaishno Motors,23.203445,77.446469,"Car Parts and Accessories,",,,,,6
36,55d9d267502a4013802e4663,Om Sai Book Store,23.203445,77.446469,"Retail,",,,,,6
37,7d9d57c9a2f54017b7938ba1,Century Mittal Kirana and General Store,23.203445,77.446469,"Retail,",,,,,6
38,7bd72554efb04b749e8ac5e8,Jain Dairy and Kirana Store,23.203445,77.446469,"Retail,",,,,,6
39,11463b301ea742e888f57e18,Sumitra Agro Tech,23.203445,77.446469,"Retail,",,,,,6
40,5f736b22bfa1b40ecf815619,Rainway UPVC,23.200714,77.447472,"Business and Professional Services,",0.3113098672821696,,,,3
41,ba60511a20534462bbac0e19,Sonam Enterprises,23.200714,77.447472,"Retail,",,,,,3
42,2c22535bb7ca49db0bc893fb,Uniqu Enterprises,23.200714,77.447472,"Retail,",,,,,3
43,4dfdbb87813092a26e4ed819,Bawarchi Restaurant,23.200714,77.447472,"Indian Restaurant,",0.358338141950375,2.0,,,3
44,9fe71291c83445a6709a92ef,Rainbo Printers,23.200714,77.447472,"Retail,",,,,,3
45,51597978e4b03e8df7d3a2f9,Rose Beauty Salon,23.200714,77.447472,"Health and Beauty Service,",0.6439699942296595,,,,3
46,c08efdc69f8e4cb2d03480b4,Mahak Provision Store,23.200714,77.447472,"Retail,",,,,,3
47,9398cae92ea743b2002a13ab,Laxmi Sweets,23.200714,77.447472,"Retail,",,,,,3
48,881bc1ba84114badedf8478c,Pick Wick Store,23.200714,77.447472,"Retail,",,,,,3
49,eac69a5cf8dc43b9e7dee493,Varma Collection,23.200714,77.447472,"Retail,",,,,,3
50,4ff85a61e4b083d14cac9274,Bawarchi Dhaba,23.187359,77.452427,"Indian Restaurant,",0.0946335833814195,2.0,,,2
51,4fbde578e4b0492153c80dbb,Volkswagen Bhopal,23.187359,77.452427,"Automotive Retail,",0.9619157530294288,,,,2
52,7b71650c12c54acbcbb1bca3,Sweet Shop,23.187359,77.452427,"Restaurant,",,,,,2
53,d60324cfe393442ddd575612,Hi Tech Dry Cleaners,23.187359,77.452427,"Retail,",,,,,2
54,6188c9e030014f907454d0d6,Ada Boutique,23.187359,77.452427,"Retail,",,,,,2
55,c4f476ac16ff4b8f56093349,New Style Hair Mens Parlour,23.187359,77.452427,"Retail,",,,,,2
56,46723fffb3ae4a4a37a72a83,Union Bank of India Hoshangabad Road Branch,23.187359,77.452427,"Banking and Finance,",,,,,2
57,56089807f56744ad0ecc3b4f,Kalis Marble,23.187359,77.452427,"Retail,",,,,,2
58,80730111e98948f0fc8a017c,TCI Ereight,23.187359,77.452427,"Retail,",,,,,2
59,9ab8a8eef6134944523d0377,Jk Service Centre,23.187359,77.452427,"Car Parts and Accessories,",,,,,2
60,4fbde250e4b096dc0aa497e0,Cinépolis - Aashima Mall,23.182398,77.455573,"Movie Theater,",0.9316214656664744,,7.2,"{'total_photos': 9, 'total_ratings': 48, 'total_tips': 9}",6
61,4f794c06e4b0633649494632,Aashima Mall,23.182398,77.455573,"Plaza,",0.9933641084824004,,7.0,"{'total_photos': 7, 'total_ratings': 19, 'total_tips': 5}",6
62,4fb0a6c7e4b0afbb67b325e7,Reliance Mart - Aashima Mall,23.182398,77.455573,"Retail,",0.0057703404500865,,,,6
63,4fbde342e4b02f0da7501348,Aashima -Food Court,23.182398,77.455573,"Food Court,",0.1174264281592614,,,,6
64,544f4726498eef66b25eb29c,"Sheesha, The Sky Lounge, Aashima Mall",23.182398,77.455573,"Lounge,",0.1468551644547028,3.0,,,6
65,4f22ca89e4b0e1207fe5cbc1,Nandan Palace,23.182398,77.455573,,0.8892094633583382,,,,6
66,4fdd9b4ee4b08d627a95a8d9,Brownie Point,23.182398,77.455573,"Bakery,",0.7106174264281593,1.0,,,6
67,504369b1e4b055ecd3c41ed4,Top N Town,23.182398,77.455573,"Ice Cream Parlor,Restaurant,",0.4835545297172533,1.0,,,6
68,5bd16ce2deb49500251efb15,Praadis Jewellers,23.182398,77.455573,"Jewelry Store,",0.2345643392960184,,,,6
69,51bdf424498ee13d09c0a96c,Prakash Dhaba,23.182398,77.455573,"Indian Restaurant,",0.6107905366416618,2.0,,,6
70,4df4cf12a809141629a710a2,Hotel Rajhans Regency,23.229068,77.442164,"Asian Restaurant,",0.9893248701673398,2.0,,,5
71,4f37d87de4b01139d6289a7a,Narmada Club,23.229068,77.442164,"Sports and Recreation,",0.1947489901904212,,,,5
